@relation 'smart_review_data-weka.filters.unsupervised.attribute.Reorder-R1,3-last,2'

@attribute id numeric
@attribute type {review,title}
@attribute rating numeric
@attribute 'stop_\%' numeric
@attribute 'meaning_\%' numeric
@attribute 'proper_noun_\%' numeric
@attribute 'noun_\%' numeric
@attribute 'pronoun_\%' numeric
@attribute 'verb_\%' numeric
@attribute 'adverb_\%' numeric
@attribute 'adjective_\%' numeric
@attribute 'wh-word_\%' numeric
@attribute product_name {'crosley cr8005a-tu c','jbl clip 2 waterproo','ninja professional b','oster cordless elect','iron gym total upper','everydrop by whirlpo','uvex skyper blue lig','rolodex deep desk dr','dymo labelmanager 28','the crystal bible','cuisinart mcp193-18n','viviscal extra stren','fake dog lucy poop d','mega man amiibo supe','skip hop zoo toddler','rhode island novelty','remo kd-0500-01 kids','prismacolor premier ','infant optics dxr-8 ','thermopro tp50 digit'}

@data
92,review,5,0.463768,0.536232,0,0.101449,0.01087,0.105072,0.043478,0.07971,0.01087,'rolodex deep desk dr'
92,title,5,0.428571,0.571429,0,0.428571,0,0,0,0.142857,0,'rolodex deep desk dr'
93,review,5,0.389222,0.610778,0,0.209581,0.02994,0.137725,0.053892,0.077844,0.011976,'rolodex deep desk dr'
93,title,5,0.545455,0.454545,0,0.363636,0.090909,0.090909,0,0,0,'rolodex deep desk dr'
94,review,5,0.426923,0.573077,0,0.176923,0.015385,0.1,0.046154,0.069231,0,'rolodex deep desk dr'
94,title,5,0.333333,0.666667,0,0.333333,0,0,0,0.333333,0,'rolodex deep desk dr'
95,review,5,0.473684,0.526316,0,0.210526,0.037594,0.120301,0.037594,0.082707,0.007519,'rolodex deep desk dr'
95,title,5,0.333333,0.666667,0,0.285714,0.047619,0.095238,0,0.142857,0,'rolodex deep desk dr'
96,review,5,0.421053,0.578947,0,0.157895,0.017544,0.157895,0.087719,0.122807,0.017544,'rolodex deep desk dr'
96,title,5,0.571429,0.428571,0,0.142857,0.285714,0.142857,0.142857,0,0,'rolodex deep desk dr'
