@relation 'huge_each_goodbad_smart-weka.filters.unsupervised.attribute.AddExpression-Eifelse(a4 >3.0, 5.0,1.0)-Ngood_or_bad-weka.filters.unsupervised.attribute.Discretize-Y-B2-M-1.0-Rlast-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.instance.RemoveRange-R1-4187-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1'

@attribute type {review,title}
@attribute num_words numeric
@attribute 'stop_\%' numeric
@attribute 'meaning_\%' numeric
@attribute 'proper_noun_\%' numeric
@attribute 'noun_\%' numeric
@attribute 'pronoun_\%' numeric
@attribute 'verb_\%' numeric
@attribute 'adverb_\%' numeric
@attribute 'adjective_\%' numeric
@attribute 'wh-word_\%' numeric
@attribute 'missspelled_\%' numeric
@attribute good_or_bad {'\'B1of2\'','\'B2of2\''}

@data
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
title,8,0.375,0.625,0,0,0,0.375,0,0.25,0,0.625,'\'B2of2\''
review,33,0.454545,0.545455,0,0.212121,0.060606,0.121212,0.030303,0.151515,0.030303,0.666667,'\'B1of2\''
title,3,0,1,0,0.333333,0,0,0,0.666667,0,1,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
review,84,0.535714,0.464286,0,0.214286,0.035714,0.107143,0.059524,0.130952,0.011905,0.52381,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
title,3,0.333333,0.666667,0,0.666667,0,0,0,0,0,0.666667,'\'B1of2\''
review,5,0.4,0.6,0,0.2,0,0,0.2,0.4,0,0.6,'\'B1of2\''
review,21,0.52381,0.47619,0,0.238095,0.190476,0.238095,0.047619,0,0,0.714286,'\'B2of2\''
review,44,0.568182,0.431818,0,0.227273,0.090909,0.136364,0.068182,0.068182,0,0.568182,'\'B2of2\''
review,17,0.411765,0.588235,0,0.294118,0.117647,0.235294,0.117647,0,0.058824,0.823529,'\'B2of2\''
review,23,0.521739,0.478261,0,0.26087,0.043478,0.130435,0.043478,0.130435,0.043478,0.782609,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
title,7,0.142857,0.857143,0,0.285714,0,0.142857,0,0.428571,0,0.857143,'\'B2of2\''
review,25,0.48,0.52,0,0.2,0.04,0.32,0.04,0.04,0,0.64,'\'B1of2\''
review,8,0.25,0.75,0,0.25,0.125,0.125,0,0.5,0,1,'\'B2of2\''
review,6,0.333333,0.666667,0,0.333333,0,0,0,0.333333,0,0.833333,'\'B2of2\''
review,48,0.541667,0.458333,0,0.145833,0.0625,0.229167,0.125,0.083333,0.020833,0.583333,'\'B1of2\''
title,3,0,1,0,0.666667,0,0,0,0.333333,0,1,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
review,19,0.421053,0.578947,0,0.210526,0.105263,0.210526,0.052632,0.157895,0,0.684211,'\'B1of2\''
review,19,0.315789,0.684211,0,0.157895,0,0.157895,0.157895,0.157895,0.052632,0.421053,'\'B2of2\''
review,24,0.5,0.5,0,0.25,0.125,0.25,0.083333,0.083333,0,0.708333,'\'B1of2\''
review,3,0.666667,0.333333,0,0,0.333333,0.666667,0,0,0,1,'\'B2of2\''
review,11,0.636364,0.363636,0,0.272727,0.090909,0.181818,0.090909,0,0,0.636364,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B1of2\''
review,102,0.509804,0.490196,0,0.147059,0.039216,0.186275,0.107843,0.029412,0.019608,0.421569,'\'B1of2\''
title,10,0.6,0.4,0,0.1,0.1,0.3,0.1,0,0,0.8,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
title,3,0,1,0,0.333333,0,0,0,0.666667,0,1,'\'B1of2\''
review,60,0.466667,0.533333,0,0.166667,0.016667,0.183333,0.05,0.2,0,0.583333,'\'B1of2\''
title,2,0.5,0.5,0,0.5,0,0,0,0,0,1,'\'B1of2\''
title,1,0,1,0,0,0,0,0,1,0,1,'\'B2of2\''
review,1,0,1,0,0,0,0,0,1,0,1,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B1of2\''
title,1,0,1,0,1,0,0,0,0,0,1,'\'B2of2\''
review,10,0.4,0.6,0,0.1,0.1,0.4,0.1,0.2,0.1,0.8,'\'B2of2\''
review,48,0.541667,0.458333,0,0.229167,0.0625,0.166667,0.0625,0.0625,0,0.520833,'\'B2of2\''
