@relation 'huge_each_goodbad_smart-weka.filters.unsupervised.attribute.AddExpression-Eifelse(a4 >3.0, 5.0,1.0)-Ngood_or_bad-weka.filters.unsupervised.attribute.Discretize-Y-B2-M-1.0-Rlast-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.instance.RemoveRange-R1-4187-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-V-R2,6,7,8,9,10,11,12'

@attribute 'stop_\%' numeric
@attribute 'pronoun_\%' numeric
@attribute 'verb_\%' numeric
@attribute 'adverb_\%' numeric
@attribute 'adjective_\%' numeric
@attribute 'wh-word_\%' numeric
@attribute 'missspelled_\%' numeric
@attribute good_or_bad {'\'B1of2\'','\'B2of2\''}

@data
0.48,0.04,0.32,0.04,0.04,0,0.64,'\'B1of2\''
0.25,0.125,0.125,0,0.5,0,1,'\'B2of2\''
0.333333,0,0,0,0.333333,0,0.833333,'\'B2of2\''
0.541667,0.0625,0.229167,0.125,0.083333,0.020833,0.583333,'\'B1of2\''
0,0,0,0,0.333333,0,1,'\'B1of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0.421053,0.105263,0.210526,0.052632,0.157895,0,0.684211,'\'B1of2\''
0.315789,0,0.157895,0.157895,0.157895,0.052632,0.421053,'\'B2of2\''
0.5,0.125,0.25,0.083333,0.083333,0,0.708333,'\'B1of2\''
0.666667,0.333333,0.666667,0,0,0,1,'\'B2of2\''
0.636364,0.090909,0.181818,0.090909,0,0,0.636364,'\'B1of2\''
0,0,0,0,0,0,0.5,'\'B1of2\''
0.509804,0.039216,0.186275,0.107843,0.029412,0.019608,0.421569,'\'B1of2\''
0.6,0.1,0.3,0.1,0,0,0.8,'\'B1of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0,0,0,0,0.666667,0,1,'\'B1of2\''
0.466667,0.016667,0.183333,0.05,0.2,0,0.583333,'\'B1of2\''
0.5,0,0,0,0,0,1,'\'B1of2\''
0,0,0,0,1,0,1,'\'B2of2\''
0,0,0,0,1,0,1,'\'B2of2\''
0,0,0,0,0,0,0.5,'\'B1of2\''
0,0,0,0,0,0,1,'\'B2of2\''
0.4,0.1,0.4,0.1,0.2,0.1,0.8,'\'B2of2\''
0.541667,0.0625,0.166667,0.0625,0.0625,0,0.520833,'\'B2of2\''
0.333333,0,0,0,0,0,0.666667,'\'B2of2\''
0.333333,0,0.333333,0.333333,0,0,0,'\'B1of2\''
0.393939,0.030303,0.30303,0.030303,0.060606,0,0.424242,'\'B1of2\''
0.5,0,0,0.5,0.5,0,0.5,'\'B1of2\''
0.333333,0,0.166667,0,0,0,0.833333,'\'B2of2\''
0.636364,0.090909,0.181818,0.090909,0.136364,0,0.681818,'\'B2of2\''
0.6,0.2,0.2,0.2,0,0,0.7,'\'B1of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0.4,0,0.4,0,0,0,0.8,'\'B1of2\''
0.666667,0.333333,0.333333,0,0,0,0.666667,'\'B2of2\''
0,0,0,0,0,0,0.5,'\'B1of2\''
0.354167,0.020833,0.1875,0.083333,0.125,0.020833,0.645833,'\'B1of2\''
0.5,0.043478,0.195652,0.021739,0.065217,0,0.5,'\'B2of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0.611111,0.055556,0.222222,0,0.111111,0,0.722222,'\'B1of2\''
0.4,0.2,0.4,0,0.2,0,0.8,'\'B1of2\''
0,0,0,0,0.5,0,1,'\'B1of2\''
0.166667,0,0,0,0,0,1,'\'B2of2\''
0.666667,0.333333,0.222222,0,0,0,0.777778,'\'B2of2\''
0.6,0,0.4,0.2,0,0,0.6,'\'B1of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0.391304,0.043478,0.217391,0.086957,0.217391,0,0.73913,'\'B1of2\''
0.25,0,0.25,0.25,0,0,0.5,'\'B1of2\''
0.583333,0,0.25,0.166667,0.083333,0,0.583333,'\'B2of2\''
0,0,0,0,0.5,0,1,'\'B1of2\''
0.411765,0,0.117647,0,0.235294,0,0.764706,'\'B2of2\''
0.666667,0.185185,0.185185,0,0,0,0.666667,'\'B2of2\''
0.5,0,0,0.5,0.5,0,0.5,'\'B2of2\''
0.333333,0.066667,0.133333,0,0.133333,0,0.733333,'\'B1of2\''
0,0,0,0,0.5,0,1,'\'B2of2\''
0.5,0.5,0.5,0,0,0,1,'\'B2of2\''
0.525424,0.042373,0.169492,0.050847,0.067797,0,0.449153,'\'B1of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0.521739,0.086957,0.173913,0.043478,0.086957,0,0.413043,'\'B1of2\''
0.5,0,0.125,0,0,0,0.75,'\'B1of2\''
0.45,0.05,0.2,0.1,0.1,0,0.65,'\'B2of2\''
0,0,0,0,0.5,0,1,'\'B2of2\''
0.357143,0.071429,0.285714,0.071429,0,0,0.5,'\'B2of2\''
0,0,0,0,0,0,0,'\'B1of2\''
0,0,0,0,0.666667,0,1,'\'B1of2\''
0.52,0.04,0.2,0.12,0.16,0.04,0.64,'\'B2of2\''
0,0,0,0,0,0,0.5,'\'B1of2\''
0,0,0,0,0,0,0.5,'\'B1of2\''
0.5,0,0,0.5,0.5,0,0.5,'\'B1of2\''
0,0,0,0,1,0,1,'\'B2of2\''
0.4,0,0.3,0,0.2,0,0.8,'\'B2of2\''
0.444444,0.111111,0.111111,0,0.222222,0.111111,0.777778,'\'B2of2\''
0,0,0,0,1,0,1,'\'B2of2\''
0.363636,0.090909,0.272727,0.272727,0,0,0.545455,'\'B1of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0,0,0,0,0,0,0.5,'\'B1of2\''
0.466667,0.133333,0.133333,0.066667,0.133333,0,0.733333,'\'B1of2\''
0,0,0,0,0.5,0,1,'\'B2of2\''
0.4,0.028571,0.285714,0.085714,0.085714,0.028571,0.571429,'\'B1of2\''
0.5,0,0.25,0.25,0.25,0,0.25,'\'B1of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0.4,0,0.2,0,0.2,0,0.6,'\'B1of2\''
0,0,0,0,0.5,0,1,'\'B2of2\''
0.25,0.25,0,0,0.25,0,1,'\'B1of2\''
0.555556,0.111111,0.111111,0.111111,0.111111,0,0.555556,'\'B1of2\''
0.483516,0.065934,0.131868,0.076923,0.065934,0.010989,0.527473,'\'B2of2\''
0.538462,0.038462,0.230769,0.076923,0,0,0.5,'\'B2of2\''
0,0,0,0,0.5,0,1,'\'B2of2\''
0,0,0,0,0,0,0.5,'\'B1of2\''
1,0,0,0,0,0,1,'\'B2of2\''
0.571429,0.047619,0.190476,0.047619,0.142857,0,0.714286,'\'B2of2\''
0.5,0.166667,0.166667,0.166667,0.166667,0,0.833333,'\'B1of2\''
0,0,0,0,0.333333,0,1,'\'B2of2\''
0.619048,0.095238,0.190476,0.047619,0.047619,0,0.52381,'\'B1of2\''
0,0,0,0,0,0,1,'\'B1of2\''
0.363636,0,0,0.090909,0.363636,0,0.727273,'\'B2of2\''
0.488636,0.045455,0.136364,0.045455,0.090909,0.011364,0.534091,'\'B2of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0.615385,0.153846,0.307692,0.076923,0,0,0.615385,'\'B1of2\''
0.411765,0,0.058824,0,0.058824,0,0.470588,'\'B1of2\''
0.461538,0,0.153846,0.076923,0.038462,0,0.5,'\'B1of2\''
0.485714,0.085714,0.171429,0.085714,0,0.028571,0.485714,'\'B2of2\''
0,0,0,0,0,0,1,'\'B1of2\''
0.285714,0.142857,0,0.285714,0.142857,0,0.571429,'\'B2of2\''
0,0,0,0.333333,0.333333,0,0.666667,'\'B2of2\''
0.538462,0.076923,0.076923,0.115385,0.076923,0,0.576923,'\'B2of2\''
0.333333,0.333333,0.333333,0,0,0,0.666667,'\'B1of2\''
0.5,0,0.25,0.25,0,0,0.5,'\'B2of2\''
0.5,0.166667,0,0.166667,0.333333,0,0.666667,'\'B2of2\''
0.333333,0,0,0,0.666667,0,0.666667,'\'B2of2\''
0.434783,0.043478,0.217391,0,0.130435,0,0.782609,'\'B2of2\''
0.4,0.028571,0.228571,0.085714,0.142857,0,0.628571,'\'B1of2\''
0.588235,0.117647,0.235294,0,0,0,0.647059,'\'B2of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0.333333,0.111111,0.222222,0.111111,0.222222,0,0.888889,'\'B1of2\''
0.333333,0,0.222222,0.111111,0.333333,0,0.777778,'\'B1of2\''
0.5,0.071429,0.285714,0.035714,0.035714,0,0.678571,'\'B1of2\''
0.5,0,0,0.25,0.25,0,0.5,'\'B2of2\''
0,0,0,0,0,0,0.5,'\'B1of2\''
0.5,0,0.2,0,0.1,0,0.7,'\'B1of2\''
0.571429,0.142857,0.238095,0.047619,0.095238,0,0.571429,'\'B2of2\''
