@relation 'parseResultFiles\\smart_review_data.arff-weka.filters.unsupervised.attribute.Reorder-R1-3,5-last,4-weka.filters.unsupervised.attribute.Discretize-Y-B5-M-1.0-Rlast-unset-class-temporarily'

@attribute id numeric
@attribute product_name {'crosley cr8005a-tu cruiser portable 3-speed turntable turquoise','cuisinart mcp193-18n multiclad pro stainless steel 3-quart saucepan with cover','dymo labelmanager 280 rechargeable hand-held label maker (1815990)','everydrop by whirlpool refrigerator water filter 1 (pack of 1)','iron gym total upper body workout bar','jbl clip 2 waterproof portable bluetooth speaker (teal)','motorola moto g (3rd generation) no contract phone (virgin mobile) - retail packaging','ninja professional blender (bl610)','oster cordless electric wine bottle opener with foil cutter ffp','rolodex deep desk drawer organizer metal mesh black (22131)','samsung galaxy j7 - no contract phone - white - (boost mobile)(carrier locked phone)','set of ten finger hands finger puppets','the crystal bible','uvex skyper blue light blocking computer glasses with sct-orange lens (s1933x)','viviscal extra strength hair nutrient tablets 90-tablets'}
@attribute type {review,title}
@attribute stop_p numeric
@attribute meaning_p numeric
@attribute proper_noun_p numeric
@attribute noun_p numeric
@attribute pronoun_p numeric
@attribute verb_p numeric
@attribute adverb_p numeric
@attribute adjective_p numeric
@attribute wh-word_p numeric
@attribute rating {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}

@data
69,'dymo labelmanager 280 rechargeable hand-held label maker (1815990)',review,0.425532,0.574468,0,0.165957,0.012766,0.119149,0.034043,0.080851,0.008511,'\'B5of5\''
69,'dymo labelmanager 280 rechargeable hand-held label maker (1815990)',title,0.333333,0.666667,0,0.333333,0,0,0,0.333333,0,'\'B5of5\''
70,'dymo labelmanager 280 rechargeable hand-held label maker (1815990)',review,0.319149,0.680851,0,0.12766,0.021277,0.170213,0.106383,0.042553,0.042553,'\'B5of5\''
70,'dymo labelmanager 280 rechargeable hand-held label maker (1815990)',title,0.333333,0.666667,0,0.166667,0.166667,0.166667,0,0.333333,0,'\'B5of5\''
71,'dymo labelmanager 280 rechargeable hand-held label maker (1815990)',review,0.422535,0.577465,0,0.15493,0.021127,0.15493,0.042254,0.091549,0,'\'B5of5\''
71,'dymo labelmanager 280 rechargeable hand-held label maker (1815990)',title,0.25,0.75,0,0.25,0,0,0,0.25,0,'\'B5of5\''
72,'dymo labelmanager 280 rechargeable hand-held label maker (1815990)',review,0.460094,0.539906,0,0.112676,0.018779,0.131455,0.032864,0.089202,0.00939,'\'B5of5\''
72,'dymo labelmanager 280 rechargeable hand-held label maker (1815990)',title,0.545455,0.454545,0,0.181818,0.090909,0.181818,0.090909,0,0,'\'B5of5\''
73,'dymo labelmanager 280 rechargeable hand-held label maker (1815990)',review,0.409639,0.590361,0,0.26506,0.048193,0.120482,0.048193,0.060241,0.036145,'\'B4of5\''
73,'dymo labelmanager 280 rechargeable hand-held label maker (1815990)',title,0,1,0,0.5,0,0.25,0.25,0,0,'\'B4of5\''
74,'rolodex deep desk drawer organizer metal mesh black (22131)',review,0.5,0.5,0,0.147059,0.058824,0.147059,0.029412,0.147059,0,'\'B5of5\''
74,'rolodex deep desk drawer organizer metal mesh black (22131)',title,0,1,0,1,0,0,0,0,0,'\'B5of5\''
75,'rolodex deep desk drawer organizer metal mesh black (22131)',review,0.360294,0.639706,0,0.227941,0.022059,0.132353,0.051471,0.095588,0,'\'B5of5\''
75,'rolodex deep desk drawer organizer metal mesh black (22131)',title,0,1,0,0.4,0,0,0.2,0.2,0,'\'B5of5\''
76,'rolodex deep desk drawer organizer metal mesh black (22131)',review,0.480851,0.519149,0,0.13617,0.008511,0.097872,0.068085,0.080851,0.021277,'\'B5of5\''
76,'rolodex deep desk drawer organizer metal mesh black (22131)',title,0,1,0,0.666667,0,0,0,0.333333,0,'\'B5of5\''
77,'rolodex deep desk drawer organizer metal mesh black (22131)',review,0.463768,0.536232,0,0.101449,0.01087,0.105072,0.043478,0.07971,0.01087,'\'B5of5\''
77,'rolodex deep desk drawer organizer metal mesh black (22131)',title,0.428571,0.571429,0,0.428571,0,0,0,0.142857,0,'\'B5of5\''
78,'rolodex deep desk drawer organizer metal mesh black (22131)',review,0.389222,0.610778,0,0.209581,0.02994,0.137725,0.053892,0.077844,0.011976,'\'B5of5\''
78,'rolodex deep desk drawer organizer metal mesh black (22131)',title,0.545455,0.454545,0,0.363636,0.090909,0.090909,0,0,0,'\'B5of5\''
79,'rolodex deep desk drawer organizer metal mesh black (22131)',review,0.426923,0.573077,0,0.176923,0.015385,0.1,0.046154,0.069231,0,'\'B5of5\''
79,'rolodex deep desk drawer organizer metal mesh black (22131)',title,0.333333,0.666667,0,0.333333,0,0,0,0.333333,0,'\'B5of5\''
80,'rolodex deep desk drawer organizer metal mesh black (22131)',review,0.473684,0.526316,0,0.210526,0.037594,0.120301,0.037594,0.082707,0.007519,'\'B5of5\''
80,'rolodex deep desk drawer organizer metal mesh black (22131)',title,0.333333,0.666667,0,0.285714,0.047619,0.095238,0,0.142857,0,'\'B5of5\''
81,'uvex skyper blue light blocking computer glasses with sct-orange lens (s1933x)',review,0.389896,0.610104,0.001295,0.132124,0.010363,0.082902,0.028497,0.059585,0.009067,'\'B5of5\''
81,'uvex skyper blue light blocking computer glasses with sct-orange lens (s1933x)',title,0.470588,0.529412,0,0.235294,0.058824,0.117647,0.176471,0.176471,0,'\'B5of5\''
82,'uvex skyper blue light blocking computer glasses with sct-orange lens (s1933x)',review,0.387755,0.612245,0,0.183673,0.047619,0.115646,0.068027,0.081633,0,'\'B5of5\''
82,'uvex skyper blue light blocking computer glasses with sct-orange lens (s1933x)',title,0,1,0,0.5,0,0.25,0,0,0,'\'B5of5\''
