@relation 'smart_review_data-weka.filters.unsupervised.attribute.Reorder-R1-3,5-last,4-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-Rlast-unset-class-temporarily'

@attribute id numeric
@attribute product_name {'rubber chicken purse','set of ten finger ha','crosley cr8005a-tu c','jbl clip 2 waterproo','ninja professional b','oster cordless elect','iron gym total upper','everydrop by whirlpo','uvex skyper blue lig','rolodex deep desk dr','dymo labelmanager 28','the crystal bible','cuisinart mcp193-18n','viviscal extra stren','the official bs butt'}
@attribute type {review,title}
@attribute num_words numeric
@attribute 'stop_\%' numeric
@attribute 'meaning_\%' numeric
@attribute 'proper_noun_\%' numeric
@attribute 'noun_\%' numeric
@attribute 'pronoun_\%' numeric
@attribute 'verb_\%' numeric
@attribute 'adverb_\%' numeric
@attribute 'adjective_\%' numeric
@attribute 'wh-word_\%' numeric
@attribute 'missspelled_\%' numeric
@attribute rating {'\'(-inf-1.8]\'','\'(1.8-2.6]\'','\'(2.6-3.4]\'','\'(3.4-4.2]\'','\'(4.2-inf)\''}

@data
88,'rubber chicken purse',review,7,0.285714,0.714286,0,0.285714,0,0.285714,0.142857,0.142857,0,0.714286,'\'(4.2-inf)\''
88,'rubber chicken purse',title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'(4.2-inf)\''
89,'rubber chicken purse',review,28,0.535714,0.464286,0,0.214286,0,0.107143,0.178571,0.035714,0,0.464286,'\'(2.6-3.4]\''
89,'rubber chicken purse',title,4,0.25,0.75,0,0.25,0,0.25,0.25,0,0,0.75,'\'(2.6-3.4]\''
90,'rubber chicken purse',review,25,0.52,0.48,0,0.2,0.04,0.16,0.12,0.08,0.04,0.56,'\'(4.2-inf)\''
90,'rubber chicken purse',title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'(4.2-inf)\''
91,'rubber chicken purse',review,23,0.608696,0.391304,0,0.086957,0.043478,0.26087,0.130435,0.043478,0,0.434783,'\'(-inf-1.8]\''
91,'rubber chicken purse',title,7,0.714286,0.285714,0,0,0.142857,0.571429,0,0,0,0.571429,'\'(-inf-1.8]\''
92,'rubber chicken purse',review,36,0.444444,0.555556,0,0.166667,0.055556,0.138889,0.083333,0.166667,0.027778,0.638889,'\'(4.2-inf)\''
92,'rubber chicken purse',title,7,0.285714,0.714286,0,0,0.142857,0.428571,0.285714,0,0,0.285714,'\'(4.2-inf)\''
93,'rubber chicken purse',review,23,0.304348,0.695652,0,0.26087,0.043478,0.130435,0,0.130435,0,0.608696,'\'(4.2-inf)\''
93,'rubber chicken purse',title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'(4.2-inf)\''
94,'rubber chicken purse',review,18,0.5,0.5,0,0.222222,0,0.111111,0.111111,0.055556,0,0.444444,'\'(3.4-4.2]\''
94,'rubber chicken purse',title,5,0.4,0.6,0,0.2,0,0.2,0,0.4,0,1,'\'(3.4-4.2]\''
95,'rubber chicken purse',review,14,0.642857,0.357143,0,0.214286,0.071429,0.214286,0.142857,0,0.071429,0.642857,'\'(4.2-inf)\''
95,'rubber chicken purse',title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'(4.2-inf)\''
96,'rubber chicken purse',review,49,0.55102,0.44898,0,0.22449,0.040816,0.163265,0.040816,0.102041,0,0.55102,'\'(4.2-inf)\''
96,'rubber chicken purse',title,9,0.555556,0.444444,0,0.222222,0.111111,0.222222,0.111111,0.111111,0,0.666667,'\'(4.2-inf)\''
