review_id,product_name,product_price,review_header,review_rating,review_text,review_comment_count,review_author,review_posted_date
108,"rubber chicken purse - the ""hen bag"" handbag",39.99,"Great purse, just smells horrible!",3.0 ,"I love my chicken purse, but the smell is so horrible. I'm not sure how long it will last, but I have stopped using it for now as everywhere I go I smell like some nasty mix of body odor and a tire! The purse is adorable though and the 4 times I went out with it I got comments every single time, everyone loves it!",,,05 Jan 2013
109,"rubber chicken purse - the ""hen bag"" handbag",39.99,Not so Happy,1.0 ,"I got this purse from a friend for my birthday. We had seen one about a year early and loved the idea of it. However, I have only had it about a month. The tag has already fallen off it somewhere so I can't open and close the purse. The zipper is so small it is difficult to carry almost anything in it or to even try and find what you have in it is almost impossible.",,,31 Dec 2012
110,"rubber chicken purse - the ""hen bag"" handbag",39.99,Not For Vegetarians,1.0 ,"Please come out with a vegetarian version. Think about what it would be like if a dinosaur or a shark carried a purse that looked like you? Wouldn't that make you feel ""less than""? Give the chickens a break; it's not enough that we slaughter them by the millions every day, reducing their beautiful bodies into ""nuggets."" A ""henbag""? Really? Perhaps you're too ""chicken"" to weave your purses out of hemp, or fashion a ""rubber tofurkey"" handbag.",,,23 Dec 2012
111,"rubber chicken purse - the ""hen bag"" handbag",39.99,CUTE BAG,3.0 ,"Having lots of fun carrying this Hen-bag yet the opening at the top is small, hard to access the interior, see whats inside , removing or putting items in is a struggle",,,16 Dec 2012
112,"rubber chicken purse - the ""hen bag"" handbag",39.99,novelty gift for chicken lovers,3.0 ,"Great novelty gift item for those chicken lovers, thick rubber purse with very small zippered opening. I have small hands and I barely could squeeze my hand in, but it was purchased more as a gag gift",,,01 Oct 2012
113,"rubber chicken purse - the ""hen bag"" handbag",39.99,Super cute but not meant for me,3.0 ,"It was love at first sight for me and ""Hen-ry"" and I had to have him. I told my husband about this purse and how much I wanted to have it. My husband, knowing how much of a bag person I am, has been wanting to get me a new purse for months but between a new baby and me not finding a purse I liked had put it off until now. He ordered it the next day for me and of course, was super excited and I tried out Hen-ry for a full day the next day. Cons: I did read the reviews prior to purchasing and a few commented on the small zipper opening and I did study the picture of the opening that has been posted and let me tell you this; I completely under-estimated its size. It is really small. I couldn't appreciate how small it was until I tried to put everything I carry into Hen-ry. I tend to carry a lot of stuff with me (and as my husband will say, ""everything including the kitchen sink."") and with the small opening, it makes getting stuff in and out annoying. I use a long wallet similar to Coach F46161 Ashley Signature Sateen Wallet - Khaki/Mahogany and I was barely able to fit it inside horizontally. I also use a coupon organizer similar to C-Line Biodegradable 13-Pocket Expanding File, Coupon Size, 1 File Folder, Color May Vary (48410) and I had a similarly hard time as my wallet putting it in. There is only one small interior pocket and I was hoping to use that as my phone pocket but it didn't fit my iPhone too well. I happen to work in an office environment and thus, I carry my office keys and other work related things along with my personal stuff so having only one pocket hurts me in keeping everything organized. The bag came with a rubbery chemical smell and I knew that the bag would have some sort of a smell with the type of material its made from but it gave me a pounding headache which I didn't expect. Pros: It's an attractive bag and I received many compliments on my first day out with him. I love to make people smile and this bag does just that. The overall interior is quite roomy. If you carry a lot of little items with you or travel light, the small zipper opening shouldn't be an issue for you. With its rubbery exterior, it makes cleaning very easy. Overall: Would I recommend this bag? Yes for the most part but if your anything like me in how I carry everything with me, then no. I will be returning Hen-ry and it greatly saddens me. I really hoped we would work out but it wasn't meant to be.",,,05 Sep 2012
114,"rubber chicken purse - the ""hen bag"" handbag",39.99,"For the price, it's cute",3.0 ,"This is a cute purse but I'll agree with the other reviewers, the zipper is way too short (which doesn't allow for easy access). The material doesn't seem durable, it's basically the same material as the rubber in a Halloween monster mask. The lining is made of cheap nylon, as are the handles (nylon webbing). But, like I said, for the price...eh.",,,24 Aug 2012
115,"rubber chicken purse - the ""hen bag"" handbag",39.99,Rubber Chicken Handbag,3.0 ,"The purse is cute, and made well. The opening is way too small. It needs a larger zipper.The coin purse is the same.",,,17 Aug 2012
116,"rubber chicken purse - the ""hen bag"" handbag",39.99,Rubber Chicken Henbag,3.0 ,"This is not a TOY! I bought it more as a joke than a purse. It's very cute, but smells like the rubber it is made of and the opening on top is rather small. I had read this on other reviews but thought it would still work for what I wanted it for. We have a group of mothers and daughters who travel together for a shopping trip once or twice a year as a ""bonding"" weekend. It's become known as ""Chick"" weekend. I thought this would be perfect for it. I bought two of these, one for my daughter and one for my daughter-in-law. They weren't as thrilled with them as I thought they would be, but I still think they were/are cute. Maybe its an age thing.",,,18 Oct 2011
117,"rubber chicken purse - the ""hen bag"" handbag",39.99,taste like chicken!,3.0 ,THIS PURSE TASTE LIKE CHICKEN LOL BUT SERIOUSLY it does not i would not eat this probaly. the bag has a lot of space and the feather lining is cool at first but annoying when your key gets lost in there.,,,30 Jun 2011
